Name	Price	Cheapest - Option	Cheapest - Shipping Cost	Cheapest - Taxes & Fees	Cheapest ETA - Days	Fastest Option - Days	Fastest - Shipping Cost	Fastest - Taxes & Fees	Group	Category	Vendor	URL
Smart Phone Car Mount	3.99	Standard Shipping	3.04	0	7	3	10.09	0	Plat+/Iridium	Accessories	Amazon	https://www.amazon.com/dp/B01AIQ0CJ4/ref=cm_gf_aAN_i18_d_p0_qd21_____________________gqLLT3G9z3m7QjUO0II0
Xbox One/PS4 Universal Tool Kit	1.99	Standard Shipping	2.99	0	30	7	37.99	0	Plat+/Iridium	Accessories	Amazon	https://www.amazon.com/Tiean-Compatible-Universal-Professional-Players/dp/B07GP3BK4T/ref=sr_1_8?s=toys-and-games&ie=UTF8&qid=1544679666&sr=1-8&keywords=ps4+controller+cable
One Finger Death Punch - Steam Game	4.99	Steam Game	0						Plat+/Iridium	Games	Steam	https://store.steampowered.com/app/264200/One_Finger_Death_Punch/
Don't Starve Together: Beating Heart Chest - Steam Game	4.99	Steam Game	0						Plat+/Iridium	Games	Steam	https://store.steampowered.com/app/798740/Dont_Starve_Together_Beating_Heart_Chest/
Golf With Your Friends - Steam Game	5.99	Steam Game	0						Plat+/Iridium	Games	Steam	https://store.steampowered.com/app/431240/Golf_With_Your_Friends/
Town of Salem - Steam Game	5.99	Steam Game	0						Plat+/Iridium	Games	Steam	https://store.steampowered.com/app/334230/Town_of_Salem/
Rankie HDMI Cable	5.99	Prime Shipping	0	0.43	2		5.99	0.86	Plat+/Iridium	Electronics	Amazon	https://www.amazon.com/Rankie-Cable-Supports-Ethernet-Return/dp/B01IP1Q4B4/ref=as_li_ss_tl?s=electronics&ie=UTF8&qid=1521654324&sr=1-13&keywords=hdmi+cable&linkCode=sl1&tag=bestlife0c1-20&linkId=776ada145f38f04a8f789cee5b24af84
500 Piece Googly Eyes	4.79	Prime Shipping	0		3		0		Plat+/Iridium	Other	Amazon	https://www.amazon.com/DECORA-Pieces-Wiggle-Googly-Self-adhesive/dp/B01LWIYJH3/ref=lp_17324748011_1_1?srs=17324748011&ie=UTF8&qid=1544691752&sr=8-1
Chain Accessory	5.99	Prime Shipping	0		7		0		Plat+/Iridium	Accessories	Amazon	https://www.amazon.com/Key-Chain-Accessories-Women-Artificial/dp/B01AMZPHMS/ref=lp_17324748011_1_9?srs=17324748011&ie=UTF8&qid=1544691752&sr=8-9
3ft Micro USB Cable	4.99	Prime Shipping	0	0.39	5		0.39	0	Plat+/Iridium	Electronics	Amazon	https://www.amazon.com/Anker-Braided-Tangle-Free-Gold-Plated-Connectors/dp/B00SUY0NCI/ref=sr_1_19?srs=17324748011&ie=UTF8&qid=1544691898&sr=8-19
Kinetic Art Balance Toy	3.69	Standard Shipping	0		30		0		Plat+/Iridium	Toys	Amazon	https://www.amazon.com/Stainless-Weightlifter-Decompressive-Psychology-DINGJIN/dp/B06WVSR6XC?creativeASIN=B06WVSR6XC&linkCode=w61&imprToken=0EOOn-gdEwqQ8Sq8TeREmg&slotNum=8&tag=coolest15-20
Compass	0.4	Standard Shipping	2.8	0	30	5	33	0	Plat+/Iridium	Toys	Amazon	https://www.amazon.com/gp/product/B01850015U?creativeASIN=B01850015U&linkCode=w61&imprToken=0EOOn-gdEwqQ8Sq8TeREmg&slotNum=6&tag=coolest15-20
10 pc Mini Plunger Stand	3.79	Standard Shipping	0		30		0		Plat+/Iridium	Toys	Amazon	https://www.amazon.com/Colors-orange-Purple-Plunger-Cellphone/dp/B00BS9SZI6?creativeASIN=B00BS9SZI6&linkCode=w61&imprToken=0EOOn-gdEwqQ8Sq8TeREmg&slotNum=18&tag=coolest15-20
Cactus Pen	1.1	Standard Shipping	2.3	0	30	5	32	0	Plat+/Iridium	Toys	Amazon	https://www.amazon.com/Yonger-Creative-Cactus-Supplies-Ballpoint/dp/B01B2V0EK6?creativeASIN=B01B2V0EK6&linkCode=w61&imprToken=0EOOn-gdEwqQ8Sq8TeREmg&slotNum=23&tag=coolest15-20
Bacon Balm Lip Balm	4.44	Prime Shipping	0	0.34	3		0.34	0	Plat+/Iridium	Other	Amazon	https://www.amazon.com/gp/product/B002SIFQUQ?creativeASIN=B002SIFQUQ&linkCode=w61&imprToken=0EOOn-gdEwqQ8Sq8TeREmg&slotNum=96&tag=coolest15-20
Shock Gum Gag Gift	3.99	Standard Shipping	0		30		0		Plat+/Iridium	Toys	Amazon	https://www.amazon.com/Shocking-Funny-Shock-Random-Color/dp/B000MLHFCS?creativeASIN=B000MLHFCS&linkCode=w61&imprToken=0EOOn-gdEwqQ8Sq8TeREmg&slotNum=104&tag=coolest15-20
7 Color Mushroom LED Light	1.79	Standard Shipping	0		30		0		Plat+/Iridium	Electronics/Toy	Amazon	https://www.amazon.com/dp/B00FC5JXOW?creativeASIN=B00FC5JXOW&linkCode=w61&imprToken=0EOOn-gdEwqQ8Sq8TeREmg&slotNum=194&tag=coolest15-20
100 Smiley Face Stickers	4.99	Prime Shipping	0		3		0		Plat+/Iridium	Other	Amazon	https://www.amazon.com/dp/B005KV8GA0/?creativeASIN=B005KV8GA0&linkCode=w61&imprToken=REta3FGUUGeQXlgpQFTElg&slotNum=2&tag=coolest15-20
Natural Stone Necklace	0.98	Prime Shipping	3.99	0	30	5	44.98	0	Plat+/Iridium	Jewelry	Amazon	https://www.amazon.com/Challyhope-Fashion-Necklace-Natural-Hexagonal/dp/B07FZTBNSG?ref_=fsclp_pl_dp_9
Enderman Figure pack	9.95	Prime Shipping	0	0.77	2	1	5.99	1.23	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/Minecraft-Core-Creeper-Figure-Pack/dp/B00DOQCTVK/ref=zg_bs_165994011_59?_encoding=UTF8&psc=1&refRID=QYAB0TRWY7JD85BCMHQX
Minecraft Stever Figure Pack/Iron Golem Figure Pack	7.85	Prime Shipping	0	0.61	2	1	5.99	1.07	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/Minecraft-Core-Creeper-Figure-Pack/dp/B00DOQCTVK/ref=zg_bs_165994011_59?_encoding=UTF8&psc=1&refRID=QYAB0TRWY7JD85BCMHQX
Diamond Stever Figure Pack	8.66	Prime Shipping	0	0.67	2	1	5.99	1.13	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/Minecraft-Core-Creeper-Figure-Pack/dp/B00DOQCTVK/ref=zg_bs_165994011_59?_encoding=UTF8&psc=1&refRID=QYAB0TRWY7JD85BCMHQX
Funko Pop Figures	10	Prime Shipping	0	0.74	2		0	0.74	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/Funko-Pop-Games-Collectible-Multicolor/dp/B07HPZMHHF/ref=zg_bs_165993011_24?_encoding=UTF8&psc=1&refRID=CR8A3W79R47R7CZ3RWQJ
Hot Wheels 9-Car Pack	13.6	Prime Shipping	0		2	1	5.99	0	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/Hot-Wheels-9-Car-Gift-Styles/dp/B006EFMSSM/ref=zg_bs_toys-and-games_62?_encoding=UTF8&psc=1&refRID=XA9YE4M8NKQBBQ34CZY1
Magic 8 Ball	13.49	Prime Shipping	0		2		0		Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/Mattel-Games-Magic-Ball-Retro/dp/B0149MC426/ref=sr_1_17_sspa?s=toys-and-games&ie=UTF8&qid=1543357031&sr=1-17-spons&keywords=board+games&psc=1
$10 Gift Card	10	Digital Item	0						Irid+/Rhodium	Digital	Digital Item
Logitech s120 2.0 Speakers	9.99	Prime Shipping	0	0.77	2	1	5.99	1.23	Irid+/Rhodium	Electronics	Amazon	https://www.amazon.com/Logitech-S120-2-0-Stereo-Speakers/dp/B000R9AAJA/ref=pd_sim_147_5?_encoding=UTF8&pd_rd_i=B000R9AAJA&pd_rd_r=8fb9659c-f8ae-11e8-a598-6b142cabb10b&pd_rd_w=lo31B&pd_rd_wg=bksPG&pf_rd_i=desktop-dp-sims&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=18bb0
SteelSeries Mouse Pad	9.99	Prime Shipping	0	0.77	2	1	5.99	1.23	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/dp/B000UEZ36W/ref=sspa_dk_detail_0?pd_rd_i=B000UEZ36W&pf_rd_m=ATVPDKIKX0DER&pf_rd_p=f0dedbe2-13c8-4136-a746-4398ed93cf0f&pd_rd_wg=JOqD9&pf_rd_r=2E5JTT5EQCWRS5FZ3VE3&pf_rd_s=desktop-dp-sims&pf_rd_t=40701&pd_rd_w=ojaah&pf_rd_i=desktop
Treasure X Adventure Pack	8.45	Prime Shipping	0		2	1	3.99	0	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/TREASURE-X-41500-Adventure-Pack/dp/B079PTBMXP/ref=zg_bs_165993011_26?_encoding=UTF8&psc=1&refRID=CR8A3W79R47R7CZ3RWQJ
Versiontech RGB Mouse Colors: Black/White	9.99	Prime Shipping	0		2	1	5.99	0	Irid+/Rhodium	Electronics	Amazon	https://www.amazon.com/VersionTECH-Ergonomic-Backlight-Settings-Programmed/dp/B00WEVLE30/ref=sr_1_2?s=wireless&ie=UTF8&qid=1544189667&sr=8-2&keywords=rgb+mouse+%2410%5C
Versiontech RGB Mouse Colors: Red/Blue	9.99	Prime Shipping	0		2	1	5.99	0	Irid+/Rhodium	Electronics	Amazon	https://www.amazon.com/VersionTECH-Ergonomic-Backlight-Settings-Programmed/dp/B00WEVLE30/ref=sr_1_2?s=wireless&ie=UTF8&qid=1544189667&sr=8-2&keywords=rgb+mouse+%2410%5C
Artistic Phone Case	5.98	Standard Shipping	3.99	0	7	3	8.99	0	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/Wydan-Compatible-Case-iPhone-Plus/dp/B01KN0XDFK/ref=sr_1_22?s=wireless&ie=UTF8&qid=1544317529&sr=1-22&keywords=artsy+phone+case
Outdoor Phone Case	5.99	Pime Shipping	0	0.46	2		0	0.46	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/FRiEQ-Waterproof-Case-Outdoor-Activities/dp/B00AW2QT8I/ref=sr_1_3?s=wireless&ie=UTF8&qid=1544317452&sr=1-3&keywords=outdoor+phone+case
Intellectuals Phone Case	7.99	Prime Shipping	0		2	1	5.99	0	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/iPhone-Scratch-Resistant-Transparent-Shockproof/dp/B072V5MZW2/ref=sr_1_5?s=wireless&ie=UTF8&qid=1544317495&sr=1-5&keywords=modern+phone+case
Mens Phone Case	8.99	Prime Shipping	0	0.7	2	1	1.16	0	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/AmazonBasics-Case-iPhone-Clear/dp/B01I48LT5O?pf_rd_r=ZK6T1MNTZJ36EV95804D&pf_rd_p=e0e81b09-fd30-474c-b919-879a45cc1121&pf_rd_m=ATVPDKIKX0DER&pf_rd_s=merchandised-search-1&ref_=Oct_DLandingS_PC_addb8eb9_NA&smid=ATVPDKIKX0DER
Girls/Womens Phone Case	8.99	Prime Shipping	0		2		0		Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/Caka-Glitter-Tempered-Protector-Floating/dp/B073B3YW8V/ref=sr_1_3?s=wireless&ie=UTF8&qid=1544317423&sr=1-3&keywords=glitter+phone+case
Boys Phone Case	9.99	Prime Shipping	0		2		0		Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/Annymall-iPhone-Protector-Shorkproof-Kickstand/dp/B076NPZ63M/ref=sr_1_8?s=wireless&ie=UTF8&qid=1544317770&sr=1-8&keywords=iphone+case+for+boys
Universal Phone Case	14.55	Prime Shipping	0	1.13	2	1	1.59	0	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/Spigen-iPhone-Wallet-Design-Holder/dp/B01GIVWTAI/ref=sr_1_7?s=wireless&ie=UTF8&qid=1544317737&sr=1-7&keywords=iphone+case
Punks Phone Case	15.99	Prime Shipping	0	1.24	2	1	5.99	1.24	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/Arc-shaped-Newtons-Balance-Science-Dreamyth/dp/B078KF8DHR/ref=bbp_bb_5e8416_st_1Nnp_w_43?smid=AWJMCLX92KZV7&th=1
Newton's Cradle	3.99	Prime Shipping	2.99	0	30	5	37.9	0	Irid+/Rhodium	Toys	Amazon	https://www.amazon.com/Arc-shaped-Newtons-Balance-Science-Dreamyth/dp/B078KF8DHR/ref=bbp_bb_5e8416_st_1Nnp_w_43?smid=AWJMCLX92KZV7&th=1
10pc Makeup Brush Kit	8.45	Prime Shipping	0		2	1	3.99	0	Irid+/Rhodium	Fashion	Amazon	https://www.amazon.com/gp/product/B00KOW827M?imprToken=8HXA2V7cyfUvZzphYHLpcA&slotNum=1&ie=UTF8&tag=bustle7440-20&camp=1789&linkCode=xm2&creativeASIN=B00KOW827M
Samsung Screen Protector	6.92	Prime Shipping	0						Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/Shield-Tempered-Protector-Hardness-Replacement/dp/B07C8HS81W/ref=sr_1_1?ie=UTF8&qid=1544463331&sr=8-1&keywords=samsung+galaxy+phone+screen+protector
iPhone Screen Protector	8.61	Prime Shipping	0	0.62	2	1	5.99	0.62	Irid+/Rhodium	Accessories	Amazon	https://www.amazon.com/amFilm-iPhone-Screen-Protector-Tempered/dp/B01415QHYW/ref=sr_1_4_acs_osp_osp18-45fa5f34-11_1?s=outdoor-recreation&ie=UTF8&qid=1544463278&sr=1-4-acs&keywords=phone+screen+protector&tag=thewire06oa-20&ascsubtag=45fa5f34-11ab-4f32-b106
100 Piece Sticker pack	8.99	Prime Shipping	0		2	1	5.99	0	Irid+/Rhodium	Other	Amazon	https://www.amazon.com/Secret-Garden-Motorcycle-Skateboard-Waterproof%EF%BC%88Not/dp/B01MQZQWJF/ref=zg_bs_arts-crafts_36?_encoding=UTF8&psc=1&refRID=KAN5WH4A42V7D0SHB0WY
1 Month Premium Membership	10	Prime Shipping	0						Irid+/Rhodium	Digital	Amazon
The Catcher in the Rye/Fahrenheit451	8.99	Prime Shipping	0	0.7	2	1	5.99	1.16	Irid+/Rhodium	Books	Amazon	https://www.amazon.com/Fahrenheit-451-Ray-Bradbury/dp/1451673310/ref=pd_sim_14_6?_encoding=UTF8&pd_rd_i=1451673310&pd_rd_r=3bd474c9-fca6-11e8-9593-a54217c41805&pd_rd_w=9ecMv&pd_rd_wg=LoAOl&pf_rd_p=18bb0b78-4200-49b9-ac91-f141d61a1780&pf_rd_r=R3BH3H1FM17N4
Of Mice and Men/To Kill A Mockingbird	9	Prime Shipping	0	0.7	2	1	3.99	1.01	Irid+/Rhodium	Books	Amazon	https://www.amazon.com/Mice-Men-John-Steinbeck/dp/0140177396/ref=pd_sim_14_2?_encoding=UTF8&pd_rd_i=0140177396&pd_rd_r=a1addf13-fca5-11e8-abd2-cdd24367c782&pd_rd_w=FY2r9&pd_rd_wg=SsMDa&pf_rd_p=18bb0b78-4200-49b9-ac91-f141d61a1780&pf_rd_r=XNJE1SFFVDAHB3PFD
Macbeth/Hamlet/Romeo & Juliet	10	Prime Shipping	0	0.77	2		0	0.77	Irid+/Rhodium	Books	Amazon	https://www.amazon.com/Macbeth-Folger-Shakespeare-Library-William/dp/0743477103/ref=pd_bxgy_14_img_2?_encoding=UTF8&pd_rd_i=0743477103&pd_rd_r=ace57719-fca6-11e8-bddf-836b3e8a828e&pd_rd_w=DFXzp&pd_rd_wg=hvbI1&pf_rd_p=6725dbd6-9917-451d-beba-16af7874e407&p
Charlotte's Web/The Outsiders/Lord of the Flies/The Giver	7.99	Prime Shipping	0	0.62	2		0	0.62	Irid+/Rhodium	Books	Amazon	https://www.amazon.com/Lord-Flies-William-Golding/dp/0399501487/ref=pd_bxgy_14_img_3?_encoding=UTF8&pd_rd_i=0399501487&pd_rd_r=19a47911-fca6-11e8-bfeb-5beec295fed0&pd_rd_w=jqqoR&pd_rd_wg=gu1BP&pf_rd_p=6725dbd6-9917-451d-beba-16af7874e407&pf_rd_r=JNY7BQT36
The Girl Who Lived	13.19	Prime Shipping	0	1.02	2	1	5.99	1.48	Irid+/Rhodium	Books	Amazon	https://www.amazon.com/Girl-Who-Lived-Thrilling-Suspense/dp/1683993063/ref=sr_1_3?s=books&ie=UTF8&qid=1544465431&sr=1-3&keywords=%231+selling+girls+book
Explosive Growth	14.39	Prime Shipping	0	1.12	2	1	5.99	1.58	Irid+/Rhodium	Books	Amazon	https://www.amazon.com/Explosive-Growth-Learned-Growing-Million/dp/1619617692/ref=sr_1_9_sspa?s=books&ie=UTF8&qid=1544465482&sr=1-9-spons&keywords=social+media+book&psc=1
Reversible Sequins Mermaid Pillow Case	5.81	Prime Shipping	0		2		0		Irid+/Rhodium	Books	Amazon	https://www.amazon.com/Livedeal-Reversible-Sequins-Mermaid-Pillow/dp/B01F72F7SA?tag=bp_links-20&ascsubtag=[artid|2089.g.1912[src|[ch|
Sketch Pad	10.6	Prime Shipping	0	0.82	2		0.82	0	Irid+/Rhodium	Books	Amazon	https://www.amazon.com/Strathmore-400-Sketch-Pads-12/dp/B0027A39PY/ref=zg_bs_arts-crafts_2?_encoding=UTF8&psc=1&refRID=F50T7DF0RP46K6273XKN
Overwatch Backpack Hangers	7	Blizzard Shipping	6.33	0.55	3	2	9.3	0.55	Irid+/Rhodium	Accessories	Amazon	https://gear.blizzard.com/us/game/overwatch/overwatch-backpack-hangers-series-2
